NDR 0.35, RR 0.00, RA 0.38, AA 0.31
NDR 0.49, RR 0.00, RA 0.34, AA 0.67
NDR 0.21, RR 0.00, RA 0.13, AA 0.33
NDR 0.36, RR 0.00, RA 0.41, AA 0.29
NDR 0.58, RR 0.00, RA 0.47, AA 0.73
NDR 0.28, RR 0.00, RA 0.25, AA 0.32
NDR 0.27, RR 0.00, RA 0.28, AA 0.25
NDR 0.21, RR 0.00, RA 0.16, AA 0.27
NDR 0.22, RR 0.00, RA 0.13, AA 0.32
NDR 0.61, RR 0.00, RA 0.41, AA 0.92
NDR 0.69, RR 0.00, RA 0.61, AA 0.80
NDR 0.25, RR 0.00, RA 0.15, AA 0.38
NDR 0.61, RR 0.00, RA 0.82, AA 0.31
NDR 0.43, RR 0.00, RA 0.22, AA 0.74
NDR 0.43, RR 0.00, RA 0.40, AA 0.48
NDR 0.32, RR 0.00, RA 0.30, AA 0.33
NDR 0.24, RR 0.00, RA 0.21, AA 0.27
NDR 1.24, RR 0.00, RA 1.27, AA 1.18
NDR 0.24, RR 0.00, RA 0.14, AA 0.37
NDR 0.54, RR 0.00, RA 0.48, AA 0.62
NDR 0.27, RR 0.00, RA 0.18, AA 0.38
NDR 0.42, RR 0.00, RA 0.14, AA 0.79
NDR 0.23, RR 0.00, RA 0.16, AA 0.32
NDR 0.36, RR 0.00, RA 0.37, AA 0.35
NDR 0.31, RR 0.00, RA 0.28, AA 0.35
NDR 0.36, RR 0.00, RA 0.12, AA 0.76
NDR 0.56, RR 0.00, RA 0.61, AA 0.49
NDR 0.29, RR 0.00, RA 0.30, AA 0.29
NDR 0.33, RR 0.00, RA 0.34, AA 0.32
NDR 0.50, RR 0.00, RA 0.42, AA 0.61
NDR 0.28, RR 0.00, RA 0.20, AA 0.38
NDR 0.68, RR 0.00, RA 0.45, AA 0.99
NDR 0.60, RR 0.00, RA 0.68, AA 0.47
NDR 0.33, RR 0.00, RA 0.38, AA 0.27
NDR 0.38, RR 0.00, RA 0.44, AA 0.28
NDR 0.27, RR 0.00, RA 0.18, AA 0.39
NDR 0.57, RR 0.00, RA 0.42, AA 0.79
NDR 0.59, RR 0.00, RA 0.75, AA 0.36
NDR 0.30, RR 0.00, RA 0.30, AA 0.30
NDR 0.26, RR 0.00, RA 0.13, AA 0.43
NDR 0.39, RR 0.00, RA 0.33, AA 0.49
NDR 0.39, RR 0.00, RA 0.36, AA 0.45
NDR 0.84, RR 0.00, RA 1.11, AA 0.45
NDR 0.51, RR 0.00, RA 0.64, AA 0.33
NDR 0.38, RR 0.00, RA 0.25, AA 0.56
NDR 0.34, RR 0.00, RA 0.38, AA 0.28
NDR 0.49, RR 0.00, RA 0.39, AA 0.64
NDR 0.55, RR 0.00, RA 0.29, AA 0.93
NDR 1.20, RR 0.00, RA 0.84, AA 1.70
NDR 0.28, RR 0.00, RA 0.29, AA 0.27
NDR 0.38, RR 0.00, RA 0.40, AA 0.37
NDR 0.22, RR 0.00, RA 0.16, AA 0.31
NDR 0.32, RR 0.00, RA 0.32, AA 0.32
NDR 1.13, RR 0.00, RA 1.35, AA 0.77
NDR 0.48, RR 0.00, RA 0.31, AA 0.75
NDR 0.23, RR 0.00, RA 0.14, AA 0.34
NDR 0.53, RR 0.00, RA 0.59, AA 0.44
NDR 1.39, RR 0.00, RA 2.03, AA 0.45
NDR 1.24, RR 0.00, RA 1.51, AA 0.84
NDR 0.34, RR 0.00, RA 0.36, AA 0.30
NDR 0.30, RR 0.00, RA 0.28, AA 0.32
NDR 0.28, RR 0.00, RA 0.24, AA 0.33
NDR 1.12, RR 0.00, RA 1.67, AA 0.40
NDR 0.28, RR 0.00, RA 0.30, AA 0.27
NDR 1.18, RR 0.00, RA 0.91, AA 1.57
NDR 0.31, RR 0.00, RA 0.33, AA 0.29
NDR 0.25, RR 0.00, RA 0.20, AA 0.32
NDR 0.23, RR 0.00, RA 0.12, AA 0.38
NDR 0.22, RR 0.00, RA 0.13, AA 0.34
NDR 1.22, RR 0.00, RA 1.07, AA 1.44
NDR 0.22, RR 0.00, RA 0.17, AA 0.28
NDR 0.32, RR 0.00, RA 0.35, AA 0.29
NDR 0.46, RR 0.00, RA 0.55, AA 0.33
NDR 0.36, RR 0.00, RA 0.22, AA 0.54
NDR 0.85, RR 0.00, RA 0.94, AA 0.72
NDR 0.53, RR 0.00, RA 0.16, AA 1.12
NDR 0.23, RR 0.00, RA 0.14, AA 0.36
NDR 0.48, RR 0.00, RA 0.58, AA 0.34
